session,participant_id,bug,start,end,region1_percent,region1_gaze_count,region1_name,region1_topleft,region1_bottomright,region2_percent,region2_gaze_count,region2_name,region2_topleft,region2_bottomright,region3_percent,region3_gaze_count,region3_name,region3_topleft,region3_bottomright,region4_percent,region4_gaze_count,region4_name,region4_topleft,region4_bottomright,Note,out_of_bounds,no_x_y,total_gazes
p1_ladybug_1454,p1,ladybug,start,end,58%,45608,code_report,"(470,70)","-1,920,750",36%,28634,fileExplorer,"(0,70)","-4,701,080",1%,449,iTrace,"-470,750","-19,201,080",0%,,,,,,730,3232,78653
p1_ladybug_1500,p1,ladybug,start,end,66%,8977,code_report,"(470,70)","-1,920,750",6%,773,fileExplorer,"(0,70)","-4,701,080",7%,889,iTrace,"-470,750","-19,201,080",0%,,,,,"assuming coordinates don't change after 1454. these coordinates are assumed, not measured ",411,2495,13545
p1_ladybug_1504,p1,ladybug,start,end,88%,23884,code_report,"(470,70)","-1,920,750",0%,120,fileExplorer,"(0,70)","-4,701,080",2%,548,iTrace,"-470,750","-19,201,080",0%,,,,,"assuming coordinates don't change after 1454. these coordinates are assumed, not measured ",66,2620,27238
p1_ladybug_1506,p1,ladybug,start,end,71%,986,code_report,"(470,70)","-1,920,750",11%,152,fileExplorer,"(0,70)","-4,701,080",13%,183,iTrace,"-470,750","-19,201,080",0%,,,,,"assuming coordinates don't change after 1454. these coordinates are assumed, not measured ",0,70,1391
p1_stonefly_1515,p1,stonefly,start,end,65%,31971,code_report,"(470,70)","-1,920,750",28%,13547,fileExplorer,"(0,70)","-4,701,080",1%,268,iTrace,"-470,750","-19,201,080",0%,,,,,"looked briefly at coordinates. Very close to coordinates from ladybug, so not changing. ",244,2886,48916
p1_stonefly_1516,p1,stonefly,start,end,83%,7846,code_report,"(470,70)","-1,920,750",3%,275,fileExplorer,"(0,70)","-4,701,080",2%,213,iTrace,"-470,750","-19,201,080",0%,,,,,"looked briefly at coordinates. Very close to coordinates from ladybug, so not changing. ",105,1000,9439
p1_hornet,p1,hornet,start,end,74%,88877,code_report,"(470,70)","-1,920,780",17%,20343,fileExplorer,"(0,70)","-4,701,080",1%,734,iTrace,"-470,780","-19,201,080",0%,,,,,"pretty close to previous, but y got shifted down 30 ",367,9077,119398
p1_silverfish,p1,silverfish,start,end,74%,50932,code_report,"(470,70)","-1,920,770",12%,7969,fileExplorer,"(0,70)","-4,701,080",0%,270,iTrace,"-470,770","-19,201,080",0%,,,,,,1755,8002,68928
p1_praying_mantis,p1,praying_mantis,start,end,83%,121498,code_report,"(470,70)","-1,920,770",4%,5268,fileExplorer,"(0,70)","-4,701,080",0%,696,iTrace,"-470,770","-19,201,080",0%,,,,,,3764,14860,146086
p1_spider,p1,spider,start,end,79%,45777,code_report,"(470,70)","-1,920,770",9%,5214,fileExplorer,"(0,70)","-4,701,080",1%,386,iTrace,"-470,770","-19,201,080",0%,,,,,,1618,4904,57899
