Bug,Participant ID,What_Confidence,What_Difficulty,What_Accuracy,Where_Confidence,Where_Difficulty,Where_Accuracy
firefly,p4,3,4,3,2,4,3
firefly,p5,4,3,2,2,4,2
firefly,p6,5,2,1,1,5,1
firefly,p8,3,4,3,1,5,2
firefly,p10,3,4.5,2,2,2,2
firefly,p16,1,5,1,1,5,1
firefly,p19,2,4,1,3,4,1
hornet,p1,3,3,1,2,5,1
hornet,p2,3,4,4,4,2,4
hornet,p3,2,4,2,2,3,2
hornet,p8,3,4,5,4,4,5
hornet,p9,1,5,3,3,5,3
hornet,p10,4,4,4,4,4,4
hornet,p19,4,3,2,3,4,2
hornet,p21,3,5,3,3,5,4
ladybug,p1,4,2,3,4,3,3
ladybug,p2,5,1,4,4,3,5
ladybug,p3,4,2,2,2,3,2
ladybug,p4,5,2,3,3,3,4
ladybug,p5,3,2,1,X,X,2
ladybug,p6,3,3,5,3,4,5
ladybug,p7,3,3,4,2,5,4
ladybug,p8,4,2,5,4,2,5
ladybug,p9,3,3,3,3,4,3
ladybug,p10,3.5,3.5,3,3,4,2
ladybug,p11,4,3,5,4,3,5
ladybug,p12,4,4,3,4,3,2
ladybug,p13,4,3,3,4,3,4
ladybug,p14,3,4,4,3,4,4
ladybug,p15,4.5,1,3,4.5,2,2
ladybug,p16,4,2,3,4,2,2
ladybug,p17,3,2,3,2,3,4
ladybug,p18,5,1,3,4,1,2
ladybug,p19,4,3,2,5,2,2
ladybug,p20,3,3,2,4,2,2
praying_mantis,p1,4,4,2,X,X,2
praying_mantis,p3,3,4,2,2,3,2
praying_mantis,p4,4,3,1,1,5,2
praying_mantis,p6,3,4,3,4,4,3
praying_mantis,p7,1,5,2,1,5,3
praying_mantis,p15,4,3.5,1,3.5,3.5,2
praying_mantis,p16,3,3,1,4,3,1
praying_mantis,p17,1,3,3,1,4,3
praying_mantis,p19,3,3,1,2,4,2
silverfish,p1,4,3,1,4,3,1
silverfish,p3,3,4,2,3,3,2
silverfish,p12,1,4,1,3,3,1
silverfish,p13,1,5,1,1,5,2
silverfish,p14,2,5,2,2,5,2
silverfish,p18,2,4,4,1,4,4
silverfish,p19,2,4,1,2,4,1
spider,p1,5,1,4,5,1,4
spider,p6,5,2,5,4,3,5
spider,p15,4,3.5,5,3.5,3.5,5
spider,p16,5,1,5,5,1,5
spider,p17,4,1,5,4,1,5
spider,p18,5,2,5,5,2,5
spider,p19,5,1,4,4,2,4
spider,p20,4,1,4,3,2,5
spider,p21,5,2,5,5,1,5
stonefly,p1,4,2,1,3,2,1
stonefly,p2,4,4,5,3,2,5
stonefly,p3,3,3,1,4,2,2
stonefly,p4,3,4,2,2,4,2
stonefly,p5,3,3,1,4,3,1
stonefly,p6,3,3,1,2,5,2
stonefly,p7,4,3,3,4,3,3
stonefly,p8,4,4,5,4,2,5
stonefly,p9,1,4,2,3,2,2
stonefly,p10,1.5,4.5,3,1.5,4.5,3
stonefly,p11,4,3,5,5,3,5
stonefly,p12,5,1,1,5,5,1
stonefly,p13,3,4,4,3,4,4
stonefly,p14,4,3,3,4,4,2
stonefly,p15,3,3,3,3,3.5,2
stonefly,p16,3,4,4,2,5,4
stonefly,p17,1,4,1,1,4,1
stonefly,p18,4,2,4,4,2,4
stonefly,p19,4,2,2,5,2,2
stonefly,p20,1,4,3,3,4,3
stonefly,p21,1,5,2,1,5,2
weevil,p4,3,3,3,3,3,2
weevil,p5,1,5,2,5,4,2
weevil,p6,2,4,4,2,5,4
weevil,p11,1,4,5,5,1,5
weevil,p13,2,3,5,2,4,5
weevil,p15,3.5,4,4,4,3.5,4
weevil,p16,2,5,4,2,4,4
weevil,p17,2,3,2,1,3,1
weevil,p19,5,2,4,4,2,4
