Bug,Participant ID,What_Confidence,What_Difficulty,What_Accuracy,Where_Confidence,Where_Difficulty,Where_Accuracy
ladybug,p1,4,2,3,4,3,3
ladybug,p2,5,1,4,4,3,4
ladybug,p3,4,2,2,2,3,2
ladybug,p4,5,2,3,3,3,3
ladybug,p5,3,2,1,X,X,3
ladybug,p6,3,3,5,3,4,5
ladybug,p7,3,3,4,2,5,4
ladybug,p8,4,2,5,4,2,5
ladybug,p9,3,3,2,3,4,2
ladybug,p10,3.5,3.5,3,3,4,3
ladybug,p11,4,3,5,4,3,5
stonefly,p1,4,2,1,3,2,1
stonefly,p2,4,4,5,3,2,5
stonefly,p3,3,3,1,4,2,2
stonefly,p4,3,4,2,2,4,2
stonefly,p5,3,3,1,4,3,2
stonefly,p6,3,3,1,2,5,3
stonefly,p7,4,3,4,4,3,4
stonefly,p8,4,4,5,4,2,5
stonefly,p9,1,4,2,3,2,2
stonefly,p10,1.5,4.5,3,1.5,4.5,3.5
stonefly,p11,4,3,5,5,3,5
hornet,p1,3,3,1,2,5,1
hornet,p2,3,4,4,4,2,4
hornet,p3,2,4,1,2,3,1
hornet,p8,3,4,5,4,4,5
hornet,p9,1,5,3.5,3,5,3
hornet,p10,4,4,4,4,4,4
praying_mantis,p1,4,4,2,X,X,2
praying_mantis,p3,3,4,2,2,3,2
praying_mantis,p4,4,3,1,1,5,1
praying_mantis,p6,3,4,3,4,4,3
praying_mantis,p7,1,5,3,1,5,3
firefly,p4,3,4,3,2,4,3
firefly,p5,4,3,3,2,4,2
firefly,p6,5,2,1,1,5,1
firefly,p8,3,4,3,1,5,3
firefly,p10,3,4.5,2,2,2,2
silverfish,p1,4,3,1,4,3,1
silverfish,p3,3,4,2,3,3,2
spider,p1,5,1,3,5,1,4.5
spider,p6,5,2,5,4,3,5
weevil,p4,3,3,3,3,3,2
weevil,p5,1,5,2.5,5,4,2
weevil,p6,2,4,5,2,5,5
weevil,p11,1,4,5,5,1,5
