Bug,Participant ID,What_Confidence,What_Difficulty,What_Accuracy,Where_Confidence,Where_Difficulty,Where_Accuracy,Duration
ladybug,p1,4,2,3,4,3,3,21:00.0
stonefly,p1,4,2,1,3,2,1,10:00.0
hornet,p1,3,3,1,2,5,1,20:00.0
silverfish,p1,4,3,1,4,3,1,10:00.0
praying_mantis,p1,4,4,2,X,X,2,20:00.0
spider,p1,5,1,4,5,1,4,08:00.0
ladybug,p2,5,1,4,4,3,5,23:00.0
stonefly,p2,4,4,5,3,2,5,23:00.0
hornet,p2,3,4,4,4,2,4,19:00.0
ladybug,p3,4,2,2,2,3,2,09:00.0
stonefly,p3,3,3,1,4,2,2,18:00.0
hornet,p3,2,4,2,2,3,2,25:00.0
silverfish,p3,3,4,2,3,3,2,20:00.0
praying_mantis,p3,3,4,2,2,3,2,19:00.0
ladybug,p4,5,2,3,3,3,4,20:00.0
stonefly,p4,3,4,2,2,4,2,24:00.0
praying_mantis,p4,4,3,1,1,5,2,23:00.0
firefly,p4,3,4,3,2,4,3,25:00.0
weevil,p4,3,3,3,3,3,2,12:00.0
ladybug,p5,3,2,1,X,X,2,25:00.0
stonefly,p5,3,3,1,4,3,1,35:00.0
firefly,p5,4,3,2,2,4,2,21:00.0
weevil,p5,1,5,2,5,4,2,10:00.0
ladybug,p6,3,3,5,3,4,5,18:00.0
stonefly,p6,3,3,1,2,5,2,13:00.0
praying_mantis,p6,3,4,3,4,4,3,09:00.0
spider,p6,5,2,5,4,3,5,09:00.0
firefly,p6,5,2,1,1,5,1,23:00.0
weevil,p6,2,4,4,2,5,4,08:00.0
ladybug,p7,3,3,4,2,5,4,31:00.0
stonefly,p7,4,3,3,4,3,3,26:00.0
praying_mantis,p7,1,5,2,1,5,3,36:00.0
ladybug,p8,4,2,5,4,2,5,18:00.0
stonefly,p8,4,4,5,4,2,5,28:00.0
hornet,p8,3,4,5,4,4,5,33:00.0
firefly,p8,3,4,3,1,5,2,31:00.0
ladybug,p9,3,3,3,3,4,3,26:00.0
stonefly,p9,1,4,2,3,2,2,35:00.0
hornet,p9,1,5,3,3,5,3,38:00.0
ladybug,p10,3.5,3.5,3,3,4,2,32:00.0
stonefly,p10,1.5,4.5,3,1.5,4.5,3,25:00.0
hornet,p10,4,4,4,4,4,4,29:00.0
firefly,p10,3,4.5,2,2,2,2,18:00.0
ladybug,p11,4,3,5,4,3,5,20:00.0
stonefly,p11,4,3,5,5,3,5,24:00.0
weevil,p11,1,4,5,5,1,5,32:00.0
ladybug,p12,4,4,3,4,3,2,29:06:00
stonefly,p12,5,1,1,5,5,1,32:03:00
silverfish,p12,1,4,1,3,3,1,21:03:00
ladybug,p13,4,3,3,4,3,4,15:33:00
stonefly,p13,3,4,4,3,4,4,23:47:00
silverfish,p13,1,5,1,1,5,2,24:56:00
weevil,p13,2,3,5,2,4,5,23:59:00
ladybug,p14,3,4,4,3,4,4,38:21:00
stonefly,p14,4,3,3,4,4,2,30:38:00
silverfish,p14,2,5,2,2,5,2,26:29:00
ladybug,p15,4.5,1,3,4.5,2,2,14:40:00
stonefly,p15,3,3,3,3,3.5,2,23:27:00
praying_mantis,p15,4,3.5,1,3.5,3.5,2,13:26:00
spider,p15,4,3.5,5,3.5,3.5,5,16:26:00
weevil,p15,3.5,4,4,4,3.5,4,12:15:00
ladybug,p16,4,2,3,4,2,2,13:35:00
stonefly,p16,3,4,4,2,5,4,20:42:00
praying_mantis,p16,3,3,1,4,3,1,15:21:00
spider,p16,5,1,5,5,1,5,6:32:00
firefly,p16,1,5,1,1,5,1,20:12:00
weevil,p16,2,5,4,2,4,4,14:21:00
ladybug,p17,3,2,3,2,3,4,26:55:00
stonefly,p17,1,4,1,1,4,1,18:55:00
praying_mantis,p17,1,3,3,1,4,3,23:16:00
spider,p17,4,1,5,4,1,5,10:13:00
weevil,p17,2,3,2,1,3,1,19:04:00
ladybug,p18,5,1,3,4,1,2,26:19:00
stonefly,p18,4,2,4,4,2,4,22:20:00
silverfish,p18,2,4,4,1,4,4,27:37:00
spider,p18,5,2,5,5,2,5,14:54:00
ladybug,p19,4,3,2,5,2,2,16:24:00
stonefly,p19,4,2,2,5,2,2,5:18:00
hornet,p19,4,3,2,3,4,2,7:47:00
silverfish,p19,2,4,1,2,4,1,14:39:00
praying_mantis,p19,3,3,1,2,4,2,14:46:00
spider,p19,5,1,4,4,2,4,6:21:00
firefly,p19,2,4,1,3,4,1,8:41:00
weevil,p19,5,2,4,4,2,4,8:17:00
ladybug,p20,3,3,2,4,2,2,19:17:00
stonefly,p20,1,4,3,3,4,3,31:03:00
spider,p20,4,1,4,3,2,5,15:00:00
stonefly,p21,1,5,2,1,5,2,29:57:00
hornet,p21,3,5,3,3,5,4,33:00:00
spider,p21,5,2,5,5,1,5,10:16:00
