Bug,Participant ID,What_Confidence,What_Difficulty,What_Accuracy,Where_Confidence,Where_Difficulty,Where_Accuracy,Duration
ladybug,p3,4,2,2,2,3,2,09:00.0
ladybug,p7,3,3,4,2,5,4,31:00.0
ladybug,p4,5,2,3,3,3,3,20:00.0
ladybug,p5,3,2,1,X,X,3,25:00.0
ladybug,p6,3,3,5,3,4,5,18:00.0
ladybug,p9,3,3,2,3,4,2,26:00.0
ladybug,p10,3.5,3.5,3,3,4,3,32:00.0
ladybug,p11,4,3,5,4,3,5,20:00.0
ladybug,p1,4,2,3,4,3,3,21:00.0
ladybug,p2,5,1,4,4,3,4,23:00.0
ladybug,p8,4,2,5,4,2,5,18:00.0
stonefly,p1,4,2,1,3,2,1,10:00.0
stonefly,p2,4,4,5,3,2,5,23:00.0
stonefly,p3,3,3,1,4,2,2,18:00.0
stonefly,p4,3,4,2,2,4,2,24:00.0
stonefly,p5,3,3,1,4,3,2,35:00.0
stonefly,p6,3,3,1,2,5,3,13:00.0
stonefly,p7,4,3,4,4,3,4,26:00.0
stonefly,p8,4,4,5,4,2,5,28:00.0
stonefly,p9,1,4,2,3,2,2,35:00.0
stonefly,p10,1.5,4.5,3,1.5,4.5,3.5,25:00.0
stonefly,p11,4,3,5,5,3,5,24:00.0
hornet,p1,3,3,1,2,5,1,20:00.0
hornet,p2,3,4,4,4,2,4,19:00.0
hornet,p3,2,4,1,2,3,1,25:00.0
hornet,p8,3,4,5,4,4,5,33:00.0
hornet,p9,1,5,3.5,3,5,3,38:00.0
hornet,p10,4,4,4,4,4,4,29:00.0
praying_mantis,p1,4,4,2,X,X,2,20:00.0
praying_mantis,p3,3,4,2,2,3,2,19:00.0
praying_mantis,p4,4,3,1,1,5,1,23:00.0
praying_mantis,p6,3,4,3,4,4,3,09:00.0
praying_mantis,p7,1,5,3,1,5,3,36:00.0
firefly,p4,3,4,3,2,4,3,25:00.0
firefly,p5,4,3,3,2,4,2,21:00.0
firefly,p6,5,2,1,1,5,1,23:00.0
firefly,p8,3,4,3,1,5,3,31:00.0
firefly,p10,3,4.5,2,2,2,2,18:00.0
firefly,p11,X,X,0,X,X,0,30:00.0
silverfish,p1,4,3,1,4,3,1,10:00.0
silverfish,p3,3,4,2,3,3,2,20:00.0
spider,p1,5,1,3,5,1,4.5,08:00.0
spider,p6,5,2,5,4,3,5,09:00.0
weevil,p4,3,3,3,3,3,2,12:00.0
weevil,p5,1,5,2.5,5,4,2,10:00.0
weevil,p6,2,4,5,2,5,5,08:00.0
weevil,p11,1,4,5,5,1,5,32:00.0
