Bug,Participant ID,All Fixations,Code Fixations,Percent Code Fixations,Percent Non-Code Fixations
ladybug,p10,1826,1348,0.73822563,0.26177437
ladybug,p12,1846,1015,0.549837486,0.450162514
ladybug,p13,1093,704,0.644098811,0.355901189
ladybug,p14,2460,1101,0.447560976,0.552439024
ladybug,p15,718,314,0.437325905,0.562674095
ladybug,p16,1229,706,0.574450773,0.425549227
ladybug,p17,2518,1799,0.714455917,0.285544083
ladybug,p19,837,462,0.551971326,0.448028674
ladybug,p1,775,303,0.390967742,0.609032258
ladybug,p20,1235,805,0.651821862,0.348178138
ladybug,p2,1614,914,0.566294919,0.433705081
ladybug,p3,642,224,0.348909657,0.651090343
ladybug,p4,1317,610,0.46317388,0.53682612
ladybug,p5,1767,844,0.477645727,0.522354273
ladybug,p6,1217,927,0.761709121,0.238290879
ladybug,p7,456,281,0.61622807,0.38377193
ladybug,p8,1088,649,0.596507353,0.403492647
ladybug,p9,1620,899,0.554938272,0.445061728
stonefly,p10,2052,1334,0.650097466,0.349902534
stonefly,p11,2182,1382,0.633363886,0.366636114
stonefly,p12,2008,748,0.37250996,0.62749004
stonefly,p13,1391,887,0.63767074,0.36232926
stonefly,p14,2070,1022,0.493719807,0.506280193
stonefly,p15,1639,768,0.468578401,0.531421599
stonefly,p16,1762,1196,0.67877412,0.32122588
stonefly,p17,1575,869,0.551746032,0.448253968
stonefly,p18,1036,675,0.651544402,0.348455598
stonefly,p19,317,128,0.403785489,0.596214511
stonefly,p1,434,45,0.103686636,0.896313364
stonefly,p20,2595,1885,0.726396917,0.273603083
stonefly,p21,2019,1617,0.80089153,0.19910847
stonefly,p2,1434,630,0.439330544,0.560669456
stonefly,p3,1868,1174,0.628479657,0.371520343
stonefly,p4,1926,1066,0.553478712,0.446521288
stonefly,p5,3342,2101,0.62866547,0.37133453
stonefly,p6,818,343,0.419315403,0.580684597
stonefly,p7,1767,942,0.533106961,0.466893039
stonefly,p8,1820,1149,0.631318681,0.368681319
stonefly,p9,2551,1540,0.603684829,0.396315171
hornet,p10,2143,1822,0.850209986,0.149790014
hornet,p19,434,326,0.751152074,0.248847926
hornet,p1,880,521,0.592045455,0.407954545
hornet,p21,2016,1794,0.889880952,0.110119048
hornet,p2,1114,622,0.558348294,0.441651706
hornet,p3,1719,1410,0.820244328,0.179755672
hornet,p8,2061,1794,0.870451237,0.129548763
hornet,p9,2509,1710,0.681546433,0.318453567
praying_mantis,p13,854,426,0.49882904,0.50117096
praying_mantis,p15,766,276,0.360313316,0.639686684
praying_mantis,p16,1526,995,0.652031455,0.347968545
praying_mantis,p17,1985,1065,0.536523929,0.463476071
praying_mantis,p19,774,383,0.494832041,0.505167959
praying_mantis,p1,1432,591,0.412709497,0.587290503
praying_mantis,p3,1671,860,0.514661879,0.485338121
praying_mantis,p4,2010,1015,0.504975124,0.495024876
praying_mantis,p6,532,172,0.323308271,0.676691729
praying_mantis,p7,1500,798,0.532,0.468
firefly,p10,1144,495,0.432692308,0.567307692
firefly,p11,2910,1997,0.686254296,0.313745704
firefly,p16,1826,999,0.547097481,0.452902519
firefly,p19,564,74,0.131205674,0.868794326
firefly,p4,2297,1097,0.477579451,0.522420549
firefly,p5,1389,421,0.303095752,0.696904248
firefly,p6,1510,874,0.578807947,0.421192053
firefly,p8,2250,1160,0.515555556,0.484444444
silverfish,p12,631,112,0.177496038,0.822503962
silverfish,p13,1297,778,0.599845798,0.400154202
silverfish,p14,1869,876,0.468699839,0.531300161
silverfish,p18,1008,591,0.586309524,0.413690476
silverfish,p19,1054,485,0.460151803,0.539848197
silverfish,p1,596,122,0.204697987,0.795302013
silverfish,p3,1607,1154,0.718108276,0.281891724
spider,p15,998,715,0.716432866,0.283567134
spider,p16,625,463,0.7408,0.2592
spider,p17,700,320,0.457142857,0.542857143
spider,p18,511,273,0.534246575,0.465753425
spider,p19,406,281,0.692118227,0.307881773
spider,p1,562,327,0.581850534,0.418149466
spider,p20,1128,822,0.728723404,0.271276596
spider,p21,719,511,0.710709318,0.289290682
spider,p6,636,425,0.668238994,0.331761006
weevil,p11,2751,2411,0.876408579,0.123591421
weevil,p13,1690,1455,0.860946746,0.139053254
weevil,p15,916,695,0.758733624,0.241266376
weevil,p16,1282,1049,0.81825273,0.18174727
weevil,p17,1940,1757,0.905670103,0.094329897
weevil,p19,521,458,0.879078695,0.120921305
weevil,p4,1109,770,0.694319206,0.305680794
weevil,p5,774,502,0.648578811,0.351421189
weevil,p6,631,465,0.736925515,0.263074485
